Task Name,Start Date,End Date,Duration (Days),% Complete,Priority,Status,Assignee,Description,Parent ID
"Chemsol Zoho Creator Implementation",,,0,0,High,Not Started,Admin,"Project-centric ERP on Zoho Creator. Everything tags to Project. 7 phases, 12 weeks.",
"Phase 1: Master Data Setup",,,0,0,High,Not Started,Purchase / Admin,"Foundation data. Weeks 1-2. Items, Suppliers, Customers, Stores, Users, Approval Matrix.","Chemsol Zoho Creator Implementation"
"Purchase Item Muster","2026-07-06","2026-07-07",2,0,High,Not Started,Admin,"Central item catalog. 6 Categories (RM/Packaging/Tools/Maintenance/Capital/Admin). UOM: Nos/Kg/Ltr/Mtr/Kit. HSN, GST%, Min/Max stock.","Phase 1: Master Data Setup"
"System Master","2026-07-07","2026-07-07",1,0,High,Not Started,Admin / Production,"Flooring system codes: EP01/EP02 (Epoxy), PU (PU), DEM (Demarcation), NUM/ARR/ANTI/ESD/FIL/COV.","Phase 1: Master Data Setup"
"BOM Master","2026-07-08","2026-07-09",2,0,High,Not Started,Production / QC,"Material consumption per system. Header + N line items (Code/Name/UOM/Qty/Waste%/Total Qty formula).","Phase 1: Master Data Setup"
"Supplier Master","2026-07-09","2026-07-10",2,0,High,Not Started,Purchase / Admin,"16 fields: GSTIN, PAN, Bank, Payment Terms, Credit Days. Referenced by PO/GRN/Rate Comparison.","Phase 1: Master Data Setup"
"Customer / Site Master","2026-07-10","2026-07-10",1,0,High,Not Started,Sales / Admin,"Client org + site details. Referenced by SO and Project.","Phase 1: Master Data Setup"
"Store Master & Bin Location","2026-07-13","2026-07-13",1,0,High,Not Started,Stores / Admin,"6 warehouses: Wadki/Main/Neelo/Gurgaon/Bangalore/Client Site. Rack/Shelf/Bin mapping.","Phase 1: Master Data Setup"
"User Access Setup","2026-07-14","2026-07-14",1,0,High,Not Started,Admin,"8 departments. Roles: Entry/Review/Approve/Admin.","Phase 1: Master Data Setup"
"Approval Matrix","2026-07-14","2026-07-15",1,0,High,Not Started,Admin,"PR/PO limits per dept. 3-level approver escalation. Doc types: PR/PO/GRN/MR.","Phase 1: Master Data Setup"
"Configure Item AutoFetch Rules","2026-07-15","2026-07-15",1,0,High,Not Started,Admin,"Bidirectional Item Code<->Name. AutoFetch UOM/HSN/GST%/Lead Time/Stock.","Phase 1: Master Data Setup"
"Phase 2: Project Hub + Sales Module",,,0,0,High,Not Started,Project Manager / Sales,"CENTRAL PHASE: Build Project form + Sales Order. Project is the hub for ALL downstream modules. Weeks 3-4.","Chemsol Zoho Creator Implementation"
"Create Project Form (Hub)","2026-07-20","2026-07-21",2,0,High,Not Started,Project Manager,"Project ID (PRJ-YYYY-XXXX). Name/Address/Manager. Execution Base (Area/Day). Start/End Dates. Cost. Systems subtable. Status.","Phase 2: Project Hub + Sales Module"
"Task Category: Transportation","2026-07-21","2026-07-22",1,0,High,Not Started,Project Manager,"Budget + Dispatch subform (From/To/Charges, multiple dispatches). Always visible.","Phase 2: Project Hub + Sales Module"
"Task Category: Application/Execution","2026-07-22","2026-07-22",1,0,High,Not Started,Project Manager,"Conditional: Area Basis. Subtasks A-D (Name/Area/Cost/MP). Grinding/Primer/Screed/TopCoat/Yellow/Arrow/Numbering.","Phase 2: Project Hub + Sales Module"
"Task Category: Manpower","2026-07-22","2026-07-22",1,0,High,Not Started,Project Manager,"Conditional: Day Basis. Manpower Budget + Count.","Phase 2: Project Hub + Sales Module"
"Task Category: Tools & Expenses","2026-07-22","2026-07-22",1,0,High,Not Started,Project Manager,"Tools Budget + Overhead Budget. Always visible.","Phase 2: Project Hub + Sales Module"
"Sales/Work Order - Supply+Apply Mode","2026-07-23","2026-07-24",2,0,High,Not Started,Sales,"Client details. System subtable (Code/Thickness/Area/UOM/Rate/Amount formula). Total. Warranty. Commission (checkbox+%/Fix).","Phase 2: Project Hub + Sales Module"
"Sales/Work Order - Supply Only Mode","2026-07-24","2026-07-24",1,0,High,Not Started,Sales,"Material sales mode. FG subtable (Name/Qty/UOM/Rate/Amount). Billing/Shipping Address.","Phase 2: Project Hub + Sales Module"
"SO -> Project Auto-Creation Workflow","2026-07-24","2026-07-24",1,0,High,Not Started,Admin,"CRITICAL: When SO stage = Confirmed/Accepted, auto-create Project record with SO reference. Project ID linked back to SO.","Phase 2: Project Hub + Sales Module"
"Phase 3: Procurement (Tagged to Project)",,,0,0,High,Not Started,Purchase,"PR -> Rate Comparison -> PO -> GRN -> QC. Every form carries Project ID lookup. Weeks 5-6.","Chemsol Zoho Creator Implementation"
"Purchase Requisition (PR) - Project Tagged","2026-07-27","2026-07-28",2,0,High,Not Started,Production / R&D,"Header: PR No/Date, Project ID (lookup), Dept (from login). N line items with bidirectional autofetch. Status workflow.","Phase 3: Procurement (Tagged to Project)"
"Rate Comparison - Project Tagged","2026-07-28","2026-07-29",2,0,High,Not Started,Purchase,"PR ref -> Product No/Name auto. 5 supplier comparisons (dropdown + Price + Credit). Finalise/PO link. Project ID inherited from PR.","Phase 3: Procurement (Tagged to Project)"
"Purchase Order (PO) - Project Tagged","2026-07-29","2026-07-30",2,0,High,Not Started,Purchase,"RM Type (Coding/Non-Coding) -> RM vs RMWAD prefix. Project ID lookup. N line items with GST split (CGST/SGST/IGST). Transport scope. Printable T&C.","Phase 3: Procurement (Tagged to Project)"
"PO Dual Numbering Logic","2026-07-30","2026-07-30",1,0,High,Not Started,Purchase,"CRITICAL: RM prefix for Non-Coding. RMWAD prefix for Coding. Different series per category.","Phase 3: Procurement (Tagged to Project)"
"Goods Receipt Note (GRN) - Project Tagged","2026-08-02","2026-08-03",2,0,High,Not Started,Store,"PO ref -> Items auto. Warehouse dropdown (conditional Client Site). Partial GRN via checkbox. Transport subform (conditional). Project ID inherited. Stock on posting.","Phase 3: Procurement (Tagged to Project)"
"QC / QA Form","2026-08-03","2026-08-03",1,0,High,Not Started,QC,"GRN ref -> Items/Supllier auto. Test results (Viscosity/Density/Color/Moisture). Accepted/Rejected Qty. QC Status.","Phase 3: Procurement (Tagged to Project)"
"Phase 4: Inventory (Tagged to Project)",,,0,0,High,Not Started,Store,"MR -> MIS -> FGHM -> FGAN. Every form carries Project ID. Weeks 7-8.","Chemsol Zoho Creator Implementation"
"Material Requisition (MR) - Project Tagged","2026-08-09","2026-08-10",2,0,High,Not Started,Production / R&D,"MR No/Date auto. Project ID (lookup). Priority. N line items with stock availability check.","Phase 4: Inventory (Tagged to Project)"
"Material Issue Slip (MIS) - Project Tagged","2026-08-10","2026-08-11",2,0,High,Not Started,Store,"MR ref -> Items auto. Issued Qty vs Required. Balance Qty formula. Stock deducted. Project ID inherited.","Phase 4: Inventory (Tagged to Project)"
"FG Handover (FGHM) - Project Tagged","2026-08-11","2026-08-12",2,0,High,Not Started,Production,"Project ID lookup -> Client auto. Batch No. N FG items with QC Status. Pop-up notification to Store on submit.","Phase 4: Inventory (Tagged to Project)"
"FG Acceptance (FGAN) - Project Tagged","2026-08-12","2026-08-12",1,0,High,Not Started,Store,"Opened from notification. FGH ref -> Items auto. Damaged Qty, Accepted Qty formula. Approval required. Acceptance No after approval.","Phase 4: Inventory (Tagged to Project)"
"Material Return / Handover / Vehicle Forms","2026-08-13","2026-08-13",1,0,Medium,Not Started,Store,"Material Return (MIS ref). Inter-Store Handover. Vehicle & Transport tracking.","Phase 4: Inventory (Tagged to Project)"
"Phase 5: Production (Tagged to Project)",,,0,0,High,Not Started,Production,"Production Planning -> BOM -> BMR -> RM Consumption -> Packing -> Rework. Week 9. All tagged to Project.","Chemsol Zoho Creator Implementation"
"Production Planning - Project Tagged","2026-08-17","2026-08-17",1,0,High,Not Started,Production,"Project ID lookup. Period (Week/Month). Plant. SO/WO Qty auto. FG Stock auto. Net Requirement formula.","Phase 5: Production (Tagged to Project)"
"Production Order & BMR - Project Tagged","2026-08-17","2026-08-18",2,0,High,Not Started,Production,"Prod Order No autogen. Project ID lookup. System Code. Planned Qty/Dates. BMR with Raw Materials subform + Process Parameters + Yield + QC.","Phase 5: Production (Tagged to Project)"
"RM Consumption / Packing / Rework Forms","2026-08-18","2026-08-18",1,0,Medium,Not Started,Production,"RM Consumption (BMR ref). Packing Entry (FG packing). Rework Register (reason/ref/qty/QC).","Phase 5: Production (Tagged to Project)"
"Phase 6: Dashboards & Reports",,,0,0,High,Not Started,Admin,"4 departmental dashboards + 30+ reports. Weeks 10-11.","Chemsol Zoho Creator Implementation"
"Purchase Dept Dashboard","2026-08-24","2026-08-25",2,0,High,Not Started,Purchase,"5 widgets + 6 notifications. Reports: Open PO Register, PO vs GRN, Vendor Performance, Price Comparison, Transport.","Phase 6: Dashboards & Reports"
"Store Dept Dashboard","2026-08-25","2026-08-26",2,0,High,Not Started,Store,"Inventory Dashboard, Dispatch Planning. 8 entry form shortcuts. 3 notification widgets.","Phase 6: Dashboards & Reports"
"Production Dept Dashboard","2026-08-26","2026-08-27",2,0,High,Not Started,Production,"9 widgets. 9 reports: Daily Production, BMR, Order Status, Material Consumption, Loss, Handover, Packing, Machine Utilization.","Phase 6: Dashboards & Reports"
"Project Dashboard","2026-08-27","2026-08-27",1,0,High,Not Started,Project Manager,"15 reports: Sitewise Costing, Manpower/Machinery/Tools, Material/Manpower vs Work Completion, Margin, Task Report.","Phase 6: Dashboards & Reports"
"Phase 7: UAT & Go-Live",,,0,0,High,Not Started,Admin,"End-to-end testing, training, deployment. Week 12.","Chemsol Zoho Creator Implementation"
"Configure All Autofetch & Lookup Rules","2026-08-31","2026-08-31",1,0,High,Not Started,Admin,"Verify all Project ID lookups + item/supplier autofetch relationships across ALL forms.","Phase 7: UAT & Go-Live"
"Configure Notifications & Stock Rules","2026-08-31","2026-09-01",1,0,High,Not Started,Admin,"SO->Project auto-create. PR/Pending Approval. FGHM pop-up. GRN posting -> stock. MIS -> stock deduct. FGAN -> FG stock.","Phase 7: UAT & Go-Live"
"Test End-to-End: Project -> Procurement","2026-09-01","2026-09-02",2,0,High,Not Started,Purchase,"Full flow: SO Accepted -> Project Created -> PR (N items, tagged to Project) -> Rate Comparison -> PO (both RM types, tagged to Project) -> GRN (partial+full) -> QC -> Stock Update","Phase 7: UAT & Go-Live"
"Test End-to-End: Project -> Inventory","2026-09-02","2026-09-02",1,0,High,Not Started,Store,"Full flow: MR (N items, tagged to Project) -> MIS (with shortage) -> FGHM -> Notification -> FGAN (with damage) -> FG Stock Update","Phase 7: UAT & Go-Live"
"Test End-to-End: Project -> Production","2026-09-02","2026-09-02",1,0,High,Not Started,Production,"Full flow: Production Planning (tagged to Project) -> Prod Order -> BMR -> RM Consumption -> Packing -> FGHM","Phase 7: UAT & Go-Live"
"Test All Conditional Visibility Rules","2026-09-03","2026-09-03",1,0,High,Not Started,Admin,"GRN transport/Client Site. Project Area/Day tasks. SO Commission.","Phase 7: UAT & Go-Live"
"Test PO Numbering & Printable Format","2026-09-03","2026-09-03",1,0,High,Not Started,Purchase,"RM vs RMWAD prefix. GST split (CGST/SGST/IGST). Total in words. T&C display.","Phase 7: UAT & Go-Live"
"Test Department Permissions","2026-09-06","2026-09-06",1,0,High,Not Started,Admin,"Create/Edit/View per role per form. Verify Project ID is read-only on inherited forms for non-admin users.","Phase 7: UAT & Go-Live"
"User Acceptance Testing (UAT)","2026-09-06","2026-09-08",3,0,High,Not Started,Admin,"All departments test. Bug fixes.","Phase 7: UAT & Go-Live"
"Training & Documentation","2026-09-08","2026-09-09",2,0,Medium,Not Started,Admin,"User guides per department. Hands-on training sessions.","Phase 7: UAT & Go-Live"
"Go-Live Deployment","2026-09-09","2026-09-09",1,0,High,Not Started,Admin,"Data migration, activate all forms, go-live. Post-launch support.","Phase 7: UAT & Go-Live"
